year,cod_77832,cod_77833,cod_77849
2000,93.21,,163165
2001,93.21,,170596
2002,93.21,93.86,178904
2003,93.21,93.86,187619
2004,93.21,93.86,196079
2005,93.21,93.86,203826
2006,93.22,93.49,210673
2007,93.24,93.12,216785
2008,93.25,92.74,222452
2009,93.26,92.37,228134
2010,93.28,92.0,234181
2011,93.29,91.63,240654
2012,93.31,91.25,247463
2013,93.5,91.87,254503
2014,93.65,91.83,261623
2015,93.81,91.79,261008
2016,93.62,92.39,267824
2017,93.67,92.41,275189
2018,93.73,92.43,282936
2019,93.78,92.45,290823
2020,93.78,92.45,298682
